4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,5,5
1,1,1,1,5,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,5,0,0,0,0,0,99
5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5
5,5,5,5,5,5,5,5,0,4,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5
5,5,5,5,5,5,5,3,0,0,2,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5
5,5,5,5,5,5,5,3,0,0,2,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5
5,5,5,5,5,5,4,8,0,0,9,4,5,5,5,0,5,5,5,5,0,5,0,0,0,0,0,5,5,5,5,5
5,5,5,5,5,3,0,0,0,0,0,1,2,5,5,0,0,0,0,0,0,5,0,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
